;Country;Region;Pop. Density (per sq. mi.);Infant mortality (per 1000 births);GDP ($ per capita) dollars
119;Liechtenstein ;WESTERN EUROPE;212,4;4.7;25000.0
120;Lithuania ;BALTICS;55;6.89;11400.0
121;Luxembourg ;WESTERN EUROPE;183,5;4.81;55100.0
122;Macau ;ASIA (EX. NEAR EAST);16183;4.39;19400.0
123;Macedonia ;EASTERN EUROPE;80,9;10.09;6700.0
124;Madagascar ;SUB-SAHARAN AFRICA;31,7;76.83;800.0
125;Malawi ;SUB-SAHARAN AFRICA;109,8;103.32;600.0
126;Malaysia ;ASIA (EX. NEAR EAST);;17.7;9000.0
127;Maldives ;ASIA (EX. NEAR EAST);1196,7;56.52;3900.0
128;Mali ;SUB-SAHARAN AFRICA;9,5;116.79;900.0
129;Malta ;WESTERN EUROPE;1266,5;3.89;17700.0
130;Marshall Islands ;OCEANIA;5,1;29.45;1600.0
131;Martinique ;LATIN AMER. & CARIB;396,5;7.09;14400.0
132;Mauritania ;SUB-SAHARAN AFRICA;3,1;70.89;1800.0
133;Mauritius ;SUB-SAHARAN AFRICA;608,3;15.03;11400.0
134;Mayotte ;SUB-SAHARAN AFRICA;538,1;62.4;2600.0
135;Mexico ;LATIN AMER. & CARIB;54,5;20.91;9000.0
136;Micronesia, Fed. St. ;OCEANIA;153,9;30.21;2000.0
137;Moldova ;C.W. OF IND. STATES;132;40.42;1800.0
138;Monaco ;WESTERN EUROPE;16271,5;5.43;27000.0
139;Mongolia ;ASIA (EX. NEAR EAST);1,8;53.79;1800.0
140;Montserrat ;LATIN AMER. & CARIB;92,5;7.35;3400.0
141;Morocco ;NORTHERN AFRICA;74,4;41.62;4000.0
142;Mozambique ;SUB-SAHARAN AFRICA;24,6;130.79;1200.0
143;Namibia ;SUB-SAHARAN AFRICA;2,5;48.98;7200.0
144;Nauru ;OCEANIA;632,7;9.95;5000.0
145;Nepal ;ASIA (EX. NEAR EAST);192,2;66.98;1400.0
146;Netherlands ;WESTERN EUROPE;397,1;5.04;28600.0
